source	subject_category	subject_prefix	predicate	object_category	object_prefix	count
mediadive	biolink:ChemicalEntity	mediadive.solution	biolink:has_part	biolink:ChemicalEntity	CAS-RN	565
bacdive	biolink:OrganismTaxon	kgmicrobe.strain	METPO:2000005	biolink:ChemicalEntity	CHEBI	424
bacdive	biolink:OrganismTaxon	kgmicrobe.strain	METPO:2000009	biolink:ChemicalEntity	CHEBI	411
bacdive	biolink:OrganismTaxon	kgmicrobe.strain	METPO:2000034	biolink:ChemicalEntity	CHEBI	375
bacdive	biolink:OrganismTaxon	kgmicrobe.strain	METPO:2000035	biolink:ChemicalEntity	CHEBI	360
bacdive	biolink:ChemicalEntity	CHEBI	biolink:occurs_in	(unknown)	assay	271
bacdive	biolink:OrganismTaxon	kgmicrobe.strain	METPO:2000517	biolink:ChemicalEntity	mediadive.medium	255
bacdive	biolink:OrganismTaxon	kgmicrobe.strain	METPO:2000008	biolink:ChemicalEntity	CHEBI	237
madin_etal	biolink:ChemicalEntity	CHEBI	biolink:has_chemical_role	biolink:ChemicalRole	CHEBI	236
bacdive	biolink:OrganismTaxon	kgmicrobe.strain	METPO:2000022	biolink:ChemicalEntity	CHEBI	186
bacdive	biolink:OrganismTaxon	kgmicrobe.strain	METPO:2000103	biolink:PhenotypicQuality	pathways	157
mediadive	biolink:ChemicalEntity	mediadive.solution	biolink:has_part	biolink:ChemicalEntity	UBERON	150
bacdive	biolink:OrganismTaxon	kgmicrobe.strain	METPO:2000024	biolink:ChemicalEntity	CHEBI	123
madin_etal	(unknown)	CHEBI	biolink:has_chemical_role	biolink:ChemicalRole	CHEBI	121
bacdive	biolink:MolecularActivity	EC	biolink:is_assessed_by	(unknown)	assay	112
bacdive	biolink:OrganismTaxon	kgmicrobe.strain	METPO:2000043	biolink:ChemicalEntity	CHEBI	107
bacdive	biolink:OrganismTaxon	kgmicrobe.strain	METPO:2000049	biolink:ChemicalEntity	CHEBI	104
bacdive	biolink:OrganismTaxon	kgmicrobe.strain	METPO:2000015	biolink:ChemicalEntity	CHEBI	100
madin_etal	(unknown)	PO	biolink:location_of	biolink:OrganismTaxon	NCBITaxon	77
bacdive	biolink:OrganismTaxon	kgmicrobe.strain	METPO:2000045	biolink:ChemicalEntity	CHEBI	73
bacdive	biolink:ChemicalEntity	CAS-RN	biolink:occurs_in	(unknown)	assay	71
bacdive	biolink:OrganismTaxon	kgmicrobe.strain	METPO:2000041	biolink:ChemicalEntity	CHEBI	69
bacdive	biolink:OrganismTaxon	kgmicrobe.strain	METPO:2000004	biolink:ChemicalEntity	CHEBI	50
bacdive	biolink:OrganismTaxon	kgmicrobe.strain	METPO:2000032	biolink:ChemicalEntity	CHEBI	48
bacdive	biolink:MolecularActivity	EC	biolink:has_input	biolink:ChemicalEntity	CAS-RN	31
bacdive	biolink:OrganismTaxon	kgmicrobe.strain	METPO:2000051	biolink:ChemicalEntity	CHEBI	28
bacdive	biolink:OrganismTaxon	kgmicrobe.strain	METPO:2000029	biolink:ChemicalEntity	CHEBI	23
bacdive	biolink:OrganismTaxon	kgmicrobe.strain	METPO:2000048	biolink:ChemicalEntity	CHEBI	23
bacdive	biolink:MolecularActivity	EC	biolink:has_input	biolink:ChemicalEntity	CHEBI	16
bacdive	biolink:OrganismTaxon	kgmicrobe.strain	METPO:2000020	biolink:ChemicalEntity	CHEBI	16
bacdive	biolink:OrganismTaxon	kgmicrobe.strain	METPO:2000025	biolink:ChemicalEntity	CHEBI	16
mediadive	(unknown)	mediadive.medium	biolink:subclass_of	biolink:ChemicalMixture	mediadive.medium-type	10
madin_etal	(unknown)	FOODON	biolink:location_of	biolink:OrganismTaxon	NCBITaxon	4
bacdive	biolink:OrganismTaxon	kgmicrobe.strain	METPO:2000026	biolink:ChemicalEntity	CHEBI	3
bacdive	biolink:OrganismTaxon	kgmicrobe.strain	METPO:2000047	biolink:ChemicalEntity	CHEBI	2
mediadive	biolink:ChemicalEntity	mediadive.solution	biolink:has_part	(unknown)	PUBCHEM.COMPOUND	2
bacdive	biolink:ChemicalEntity	KEGG	biolink:occurs_in	(unknown)	assay	1
bacdive	biolink:OrganismTaxon	kgmicrobe.strain	METPO:2000021	biolink:ChemicalEntity	CHEBI	1
madin_etal	biolink:OrganismTaxon	NCBITaxon	METPO:2000006	(unknown)	carbon_substrates	1
